date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:30	87/87	---M-Z	200	added ('OK')	text/plain	date:Wed,%2003%20Aug%202022%2008:39:29GMT	https://www.factor23.com/robots.txt		(from )
10:39:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Aug%202022%2008:39:30GMT	https://www.factor23.com/	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/index.html	(from )
10:39:32	89819/89819	---MC-	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2008:39:31GMT	https://www.factor23.com/it/home	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/it/home.html	(from https://www.factor23.com/)
10:39:32	4276/4276	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Feb%202020%2008:26:10%20GMT	https://www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-57x57.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-57x57.png	(from https://www.factor23.com/it/home)
10:39:33	4537/4537	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Feb%202020%2008:26:10%20GMT	https://www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-60x60.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-60x60.png	(from https://www.factor23.com/it/home)
10:39:34	5649/5649	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Feb%202020%2008:26:10%20GMT	https://www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-72x72.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-72x72.png	(from https://www.factor23.com/it/home)
10:39:35	307/307	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Aug%202022%2008:39:35%20GMT	https://www.factor23.com/assets/images/favicon/apple-icon-76x76.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/assets/images/favicon/apple-icon-76x76.4.delayed	(from https://www.factor23.com/it/home)
10:39:36	10231/10231	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Feb%202020%2008:26:10%20GMT	https://www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-114x114.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-114x114.png	(from https://www.factor23.com/it/home)
10:39:37	10914/10914	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Feb%202020%2008:26:10%20GMT	https://www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-120x120.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-120x120.png	(from https://www.factor23.com/it/home)
10:39:38	13813/13813	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Feb%202020%2008:26:10%20GMT	https://www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-144x144.png	/home/riccardo/httrack-websites/factor23.com/www.factor23.com/sincmstemplate/content/f23/assets/images/favicon/apple-icon-144x144.png	(from https://www.factor23.com/it/home)
